author,word1,word2,source
727,date,time,CC
723,telegraph,railroad,CC
743,cape,horn,CC
730,jaws,teeth,CC
728,cider,house,CC
743,spock,vulcan,CC
723,library,card,CC
743,flakes,corn,CC
736,binoculars,telescope,CC
723,fruit,salad,CC
743,kermit,robin,CC
723,hunting trophy,promise ring,CC
742,denial,egypt,CC
723,boxers,battling jack,CC
743,basket,case,CC
740,mowgli,jungle,CC
736,hairdo,salon,CC
737,procrastinating,rushing,CC
746,forest,run,CC
728,hippie,scoubidou,CC
737,walker,texas ranger,CC
743,thought,police,CC
743,scene,movie,CC
724,bone,phoney,CC
723,without,withincouldn't find legit beatles studio version,CC
731,mummies,bandages,CC
743,pimp,pander,CC
736,of the lake,basin,CC
723,hockey,zamboni,CC
743,walkman,headphones,CC
742,night,day,CC
743,frothy,bubbly,CC
736,viking,runestones,CC
743,freeeeeedom,ride,CC
743,cupid car,carriage,CC
730,movement,bowel,CC
743,cumulonimbus,stratosphere,CC
743,crusade,children's,CC
736,def leppard,england,CC
723,door knob,key,CC
736,shotgun,wedding,CC
743,fun,games,CC
743,martial,arts,CC
723,robinsonhe's one of the rappers in this group,mrs,CC
723,hurt,bruise,CC
743,foreman,boss,CC
737,asgard,rainbow bridge,CC
723,zone,twilight,CC
736,beam,me up scotty,CC
736,social,studies,CC
743,head,quarters,CC
743,bed,sleep,CC
737,platinum,blonde,CC
728,dancing,ceiling,CC
728,hidden,dragon,CC
753,cowboy,beebop,CC
743,lover,paramour,CC
737,fearless,fosdick,CC
731,star-lord,quill,CC
724,wall,berlin,CC
736,entropy,disorder,CC
758,harcourt,backcourt,CC
737,diamond,cutter,CC
730,uss kitty hawk,boat,CC
736,dry goods,merchandise,CC
731,bottom,cheeks,CC
737,master,disaster,CC
737,radiation,mutate,CC
743,rocket,booster,CC
724,hunger,food,CC
736,rain,downpour,CC
723,kent,county,CC
730,ponds,ducks,CC
723,floor,plan,CC
723,before,during,CC
730,shores,sand,CC
736,arnold ernst toht,herman dietrich,CC
737,curtains,shades,CC
727,treaty,negotiations,CC
743,forgiveness,mercy,CC
730,boat,yacht,CC
743,bomb,shelter,CC
723,camera,obscura,CC
727,bugs bunny,cartoon,CC
759,hockey,stick,CC
746,carry,schlep,CC
746,model,aurora,CC
743,uni,college,CC
727,fellowship,ring,CC
743,marines,lobsters,CC
723,woods,evil dead,CC
723,anime,manga,CC
743,outlaws,bushrangers,CC
724,money,honey,CC
742,burgundy,ron,CC
728,helicopter,samara,CC
736,texas rangers,silver star,CC
723,gossip,girl,CC
730,case,luggage,CC
743,comics,batman,CC
743,iron,ore,CC
743,liverpool,scouse,CC
728,u2,brutus,CC
743,even,so,CC
730,fishing,expedition,CC
743,brace,pistols,CC
743,party,pie,CC
748,parrot,sailor,CC
723,vhs,laserdisc,CC
723,bark,sapsucker,CC
746,monster,mash,CC
743,twist,shout,CC
728,writer,block,CC
736,clock,pocketwatch,CC
743,fudgecicle,ice cream,CC
736,lensman,science fiction,CC
736,countertop,kitchen,CC
736,underground,resistance,CC
737,bob,newhart,CC
727,war,pigs,CC
730,kemet,frog,CC
727,toadstool,mushroom,CC
743,rollie,cigarette,CC
743,ball,dance,CC
727,ending,beginning,CC
724,steve,rogers,CC
743,mystique,shapeshifter,CC
743,1999,party,CC
723,documents,spy camera,CC
743,aerosmith,band,CC
730,dog,bowl,CC
728,pro wrestling,luchador,CC
743,cow patties,dairy farm,CC
736,puny,petty,CC
743,coercion,extortion,CC
731,remember,forget,CC
736,cowboy,boots,CC
736,cappuccino,americano,CC
743,stripes,pancakes,CC
723,salad,dressing,CC
743,astrolabe,sundial,CC
736,diamond,emeralds,CC
736,mr,bodybuilder,CC
751,binary,code,CC
723,jalapeno,pepper,CC
736,venison,stew,CC
736,olive,oil,CC
728,humpback,igor,CC
743,redbreast,postman,CC
730,notre dame,cathedral,CC
730,cola,lola,CC
746,tan,black,CC
730,foreign,overseas,CC
727,tie-in,licensing,CC
743,artificially,inseminated,CC
743,strangers,night,CC
742,bond,glue,CC
759,balance,beam,CC
743,nantucket,whaler,CC
730,talcum,smooth,CC
728,cooler,tailgate,CC
743,wicked,witch,CC
727,ever,after,CC
730,royale,cheese,CC
736,world,globe,CC
743,raisins,sultanas,CC
737,ford,clumsy,CC
746,honky,jeffersons,CC
723,expense,account,CC
746,habitual,liar,CC
736,season,baseball,CC
742,steroids,muscles,CC
743,please,thank you,CC
746,wahlberg,vibrations,CC
737,edge,wrestler,CC
723,haunted,house,CC
737,fire,ice,CC
736,ryan,leaf,CC
743,aristotle,bottle,CC
743,kennedy,jacquie,CC
746,dead man's,curve,CC
746,broken,promises,CC
737,bums,hobo,CC
723,gibberish,babel,CC
730,security,guard,CC
728,camembert,roquefort,CC
723,salt,celtic,CC
743,coat,parka,CC
743,loud,speaker,CC
743,outside,chance,CC
746,war,low rider,CC
737,ether,anesthesia,CC
736,eddy,cue,CC
736,polish,shoe,CC
746,cars,used,CC
738,snake,plisken,CC
730,chess,grandmaster,CC
727,go,bots,CC
730,fingers,digits,CC
727,ancient,history,CC
731,body banks,sperm banks,CC
736,fund,mutual,CC
743,gennifer,anniston,CC
730,crossroads,devil,CC
743,possible,probable,CC
736,vows,promise,CC
743,jeep,popeye,CC
743,endless,boundless,CC
727,square,deal,CC
736,panic,attack,CC
727,thigh,bone,CC
743,flush,toilet,CC
736,irrigation,sprinkler,CC
743,grey,clouds,CC
728,actress,aunt may,CC
743,living,doll,CC
743,scam,nigerian,CC
730,drive,fast,CC
723,illness,illmatic,CC
723,gamer,cheater,CC
743,seven,sisters,CC
723,soda,pop,CC
728,jimmy,skeleton key,CC
723,brick house,pigs,CC
743,nuts,squirrel,CC
723,wash,chord,CC
736,flower,power,CC
738,dick,martin,CC
743,tyres,radial,CC
736,wanda,maximoff,CC
737,strike,force,CC
736,car,truck,CC
723,share,stock,CC
743,pianos,ivory,CC
723,johnny,guitar,CC
737,cheeks,ambush bug,CC
723,talks,gibberish,CC
723,harry,houdini,CC
731,officer,dibble,CC
736,lightning,thunder,CC
736,tasty,goodness,CC
730,cup,saucer,CC
743,thomas,edison,CC
742,thrush,brush,CC
736,squirrel,girl,CC
742,snowy,river,CC
737,deviant,eternal,CC
743,nick,cut,CC
730,invention,mother,CC
736,fantasy,smart,CC
743,box,jill,CC
730,thermometer,temperature,CC
730,board,game,CC
743,me,anytime,CC
743,catastrophic,failure,CC
727,attack,clones,CC
742,rays,bands,CC
737,coracle,canoe,CC
742,valley,mountains,CC
730,wire,omar,CC
743,chowda,boston,CC
723,elbow,macaroni,CC
736,tea,boston,CC
727,whiskey,bottle,CC
743,female,adapter,CC
727,pipeprince hal,weed,CC
736,boston,celtics,CC
723,gesundheight,arigato,CC
736,robin,redbreast,CC
742,paul,john,CC
728,dibble,plant,CC
743,waldiso cute,olympics,CC
728,library,phage,CC
753,front,western,CC
723,animal,vegetable,CC
730,across,street,CC
730,camelot,jfk,CC
746,death,inevitable,CC
727,sweet,nothings,CC
746,yellow,submarine,CC
743,place,melrose,CC
730,x,rated,CC
730,review,critic,CC
730,truck,driver,CC
743,cream,whipped,CC
743,job,employment,CC
746,the valley,gag me with a spoon,CC
736,kebab,stone,CC
743,money,talks,CC
743,semi,quaver,CC
743,balls,hunt,CC
730,hair rock,poison,CC
746,ulster,hound,CC
728,guide,dog,CC
727,creepy,eerie,CC
736,wood,woodpecker,CC
746,egypt,horus,CC
730,change,positions,CC
730,light,house,CC
730,convey,carry,CC
736,crazy,insane,CC
743,dressing,room,CC
723,tile,mop,CC
727,bathos,porthos,CC
751,nightmares,ditko,CC
746,honey,mead,CC
742,furniture,couch,CC
746,dean martin,celebrity roasts,CC
737,fried chicken,crispy,CC
723,order,disorder,CC
723,amigo,friend,CC
728,jazz,scat,CC
743,side,box,CC
746,split,infinitive,CC
737,pancake,syrup,CC
743,okay,eggs,CC
743,book,novel,CC
731,plumber,pipe,CC
730,car,parts,CC
728,stimulation,magazine,CC
743,type,face,CC
737,hands,deadly,CC
743,knot,reef,CC
759,plank,wood,CC
736,shoes,socks,CC
743,hammer,time,CC
728,love,four letter word,CC
723,mother,acid,CC
736,increasing,profits,CC
728,management,pain,CC
730,dixon,willie,CC
743,scorn,scathing,CC
743,arrest,handcuffs,CC
746,barkley,godzilla,CC
738,peach,teacher,CC
736,mccoy,spock,CC
728,temple,body,CC
723,crunchy,celery,CC
730,twins,fraternal,CC
723,televisionredundant,antenna,CC
730,reaper,grim,CC
727,tales,crypt,CC
724,parachute,golden,CC
727,pardon,me,CC
737,figures,dolls,CC
737,jack,daniels,CC
736,alien,sigourney weaver,CC
727,moustache,wax,CC
723,hindenberg,film,CC
743,castle,drawbridge,CC
743,rabbit,punch,CC
743,comic,comedian,CC
737,prairie,dog,CC
743,funds,mutual,CC
736,tetsuoooooooooooooooooo,anime,CC
723,bullriding,stampede,CC
723,jurassic,andromeda,CC
736,disaster,prepardness,CC
746,sextant,astrolabe,CC
728,peregrine,france,CC
743,rolling,pin,CC
723,vest,blazer,CC
723,rude,cruel,CC
736,welterweight,class,CC
743,china,white,CC
746,white,off,CC
728,goofballs,politicians,CC
743,harry,dresden,CC
743,waterloo,abba,CC
743,mud,wrestling,CC
730,bridge,water,CC
728,controller,pong,CC
743,toes,feet,CC
743,thesaurus,book,CC
730,autopsy,death,CC
737,stew,potatoes,CC
743,tubbs,crockett,CC
728,printing,3d,CC
743,binge,drinking,CC
743,blue sky,thinking,CC
743,coat,ulster,CC
737,punch,judy,CC
746,australia,uluru,CC
723,murder,corpse,CC
737,exam,physical,CC
743,squirrel,slappy,CC
730,alien,encounters,CC
743,purification,water,CC
727,corn,dog,CC
731,wing,chicken,CC
738,sleigh bells,shakespeare,CC
724,auslan,matlin,CC
730,vent,crawl,CC
743,brown,sugar,CC
736,favorite,dearest,CC
727,breasts,chicken,CC
736,income,disposable,CC
728,orange juice,simpson,CC
743,forum,penthouse,CC
743,knowledge,carnal,CC
743,thylacine,marsupial,CC
743,titanic,iceberg,CC
746,driver,pile,CC
723,retreat,beach house,CC
743,heaven,angel,CC
728,bacon,money,CC
743,ufo,gerry anderson,CC
727,flopsy,mopsy,CC
728,booster,vaccine,CC
728,dionysus,thigh,CC
723,8-track,phonograph,CC
730,beaver,creek,CC
723,scotland,haggis,CC
737,spit,chew,CC
737,boy,buoy,CC
728,apple,different,CC
743,club,golf,CC
743,yes,minister,CC
730,upward,climb,CC
723,report,incident,CC
743,schwartz,bacteria,CC
723,letter hack,marvel saga,CC
727,arias,songs,CC
743,noble,duke,CC
728,sky,quake,CC
723,believin,valhalla,CC
728,speaker,house,CC
743,gnawing,beaver,CC
736,ten,four,CC
723,dvd,vhs,CC
736,asthma,inhaler,CC
730,barrel,whiskey,CC
746,acid,kool-aid,CC
730,yesterday,paul,CC
743,speed,limit,CC
728,weave,traffic,CC
736,says,cheese,CC
746,holt,brock,CC
728,normandy,viking,CC
737,shake,rattle and roll,CC
731,fly,human,CC
736,indiana,jones,CC
736,berlin,irving,CC
742,clontarf,snarf,CC
723,ignorant,groo,CC
742,bulb,flower,CC
730,boots,walkin,CC
743,flash,bulb,CC
731,latte,steam,CC
723,olympics,bolt,CC
743,trump,bridge,CC
737,tea,earl grey,CC
728,banks,body,CC
737,peanut butter,cups,CC
736,haberdasher,notions,CC
743,symmetry,perfect,CC
736,victoria,canada,CC
744,sweet,bonbon,CC
730,run,cricket,CC
730,island,tropical,CC
743,s,halo,CC
743,line,dancing,CC
743,truck,trolley,CC
743,star,wars,CC
728,starbuck,whale,CC
730,gallop,cliff,CC
728,melting,skillet,CC
743,scent,bloodhound,CC
737,times,multiplication,CC
736,autumn,football,CC
736,vacation,chevy chase,CC
743,food,dinner,CC
724,rover,red,CC
723,mechanic,inspection,CC
743,mix tape,avenue q,CC
742,moon,landing,CC
742,fig,cookie,CC
727,maxwell,call,CC
743,abbott & costello,double act,CC
743,bootsie,footsie,CC
727,soda,coke,CC
730,jeans,cowboys,CC
743,angel,fish,CC
736,wobegon,garrison keillor,CC
728,companion,cochrane,CC
723,nothings,whisper,CC
743,mall,mice,CC
742,berlin,compass,CC
746,fine print,indicia,CC
724,dangers,lurking,CC
742,nails,hammer,CC
751,greeting,universal,CC
743,alone,solo,CC
728,chan,four,CC
743,aspidistra,brooks,CC
727,pineapple,juice,CC
759,way,down,CC
742,scream,mask,CC
730,who,farted,CC
743,dreams,nightmares,CC
723,boss,employer,CC
743,rhyme,reason,CC
730,good,boy,CC
743,wonderland,alice,CC
736,sushi,japan,CC
723,grim,sad,CC
737,destination,moon,CC
736,poison,ivy,CC
730,procreation,breeding,CC
746,todd,sweeney,CC
730,phoenix,dark,CC
736,goatee,mustache,CC
728,reprehensible,uncouth,CC
732,genocide,fabian,CC
728,grocery,mister,CC
743,cigar,cuban,CC
728,trap,parent,CC
737,wagner,das rheingold,CC
728,bolts,runs,CC
723,kitten,milk,CC
728,lunar,cycle,CC
746,chop,lamb,CC
727,fruit,juice,CC
736,donuts,dunkin,CC
746,phaser,stun,CC
727,cover,up,CC
743,marriage,ring,CC
736,meme,idea,CC
727,crypt,tales,CC
737,sun,spots,CC
743,free,gratis,CC
737,dolly,parton,CC
730,fortunatus,lucky,CC
743,ee,lensman,CC
728,plant,industry,CC
743,average,rainfall,CC
737,film,critic,CC
730,ferret,pants,CC
732,army,navy,CC
736,kopechne,chappaquiddick,CC
727,glass,blower,CC
737,crow,raven,CC
743,spice,old,CC
743,dagger,cloak,CC
743,eccentric,millionaire,CC
723,saturday,end,CC
737,streetcar,trolley,CC
730,shop,comics,CC
723,elbow,joint,CC
723,texas,flatlanders,CC
737,stimpy,pumbaa,CC
727,shake,rattle,CC
736,gathering,forum,CC
743,wright,ship,CC
728,plumber,liquid,CC
736,physical,therapist,CC
730,knocks,fort,CC
743,fibre,optic,CC
724,up,7,CC
723,bar,bell,CC
738,cardigan,balaclava,CC
746,bread,circuses,CC
746,device,doohickey,CC
743,moat,ditch,CC
743,den,fox,CC
743,me,myself,CC
724,claw,grip,CC
723,band,music,CC
746,chips,ponch,CC
736,round,circle,CC
743,sisterhood,amazons,CC
728,woman,fury,CC
743,nerd,brainy,CC
723,voodoo,hoodoo,CC
742,the mmms wants you,sticky,CC
743,one,world,CC
746,says,hearsay,CC
737,admiral,colonel,CC
727,minuscule,little,CC
723,computer,virus,CC
737,dairy farm,chicken ranch,CC
730,prole,communism,CC
742,women,boobs,CC
743,house,call,CC
746,shazam,winnebago,CC
736,last,first,CC
727,fish,hook,CC
728,fossil,wyoming,CC
728,grapes,steinbeck,CC
723,rock and roll,zeppelin,CC
743,sluggo,nancy,CC
746,australian rules,indecipherable,CC
730,redbreast,sunburn,CC
743,two,up,CC
742,tender,loving,CC
759,horses,unicorns,CC
736,ear,plug,CC
728,blood,milk,CC
730,force,coercion,CC
743,bite,dog,CC
728,unlucky,love,CC
743,happy,smile,CC
758,dusk,tusk,CC
736,bronson,butler,CC
743,smoke,cigar,CC
743,homage,pastiche,CC
724,account,savings,CC
723,question,aristotle,CC
737,bunch,banana's,CC
743,supporters,fans,CC
737,lucky,magnum,CC
743,grinner,teeth,CC
728,pants,gasps,CC
746,hawaiian,five-o,CC
743,sweater,wool,CC
746,capital,investment,CC
746,directory,menu,CC
743,star,sun,CC
723,overboard,boat,CC
736,impersonator,pantomimist,CC
746,ring,wraith,CC
742,party,1999,CC
736,honda,odyssey,CC
737,isle,gilligan,CC
737,7-11 stores,circle k,CC
743,terrifying,horror,CC
742,stopwatch,hands,CC
737,brando,godfather,CC
727,cylinder,head,CC
728,quack,homeopathy,CC
727,fruit,banana,CC
742,whey,tuffet,CC
743,sound block,sunblock,CC
728,day,groundhog,CC
730,teeth,bite,CC
743,padawan,jedi,CC
737,trench,mariana,CC
730,trafalgar,square,CC
759,olympic rings,steroids,CC
723,barbecue,burned,CC
727,spamalot,camelot,CC
737,picture,painting,CC
743,house,paint,CC
743,st,saltire,CC
743,law,court,CC
736,robinson,baseball,CC
724,thought,jack,CC
737,ulster,hairy,CC
724,chaos,captain,CC
743,rule,law,CC
737,wonder,twins,CC
736,bourgeoisie,proletariat,CC
743,menage a troi,fantasy,CC
743,hoop,barrel,CC
737,ring,finger,CC
736,impeccable,perfection,CC
730,open,marriage,CC
743,sledgehammer,peter gabriel,CC
727,shady,grove,CC
743,dressing,room,CC
728,the kents,kansas,CC
736,enterprise,starship,CC
730,crash,bandicoot,CC
728,untamed,tarzan,CC
736,father,time,CC
723,movie,talkie,CC
731,tables,chairs,CC
743,boobs,republican,CC
743,magazine,gunpowder,CC
743,band,jazz,CC
737,garland,christmas,CC
746,saint,fortunatus,CC
736,insignia,badges,CC
736,vegas,odds,CC
737,lady,hawk,CC
728,disaster,dubya,CC
727,round mound of rebound,barkley,CC
736,custom,design,CC
736,chicken,nuggets,CC
728,puppet,king,CC
743,new orleans,marie,CC
723,search,warrant,CC
736,irish,shamrock,CC
743,aunt may,wheatcakes,CC
746,ponderosa,steakhouse,CC
743,tail,gunner,CC
743,monolith,slab,CC
746,tidal,pool,CC
743,space,ship,CC
723,crier,consoler,CC
743,fudge,euphemism,CC
743,kid,child,CC
731,johnson,boris,CC
723,games,circus,CC
723,beanie,beret,CC
746,spirits,totem,CC
746,burden,albatross,CC
743,banana,peel,CC
736,sultanas,golden,CC
736,head over heels,smitten,CC
736,show,showgirls,CC
751,decalogue,egypt,CC
728,stop,pit,CC
723,ball,kick,CC
730,orc,troll,CC
723,imp,dodgers,CC
743,glenn,close,CC
736,nsfw,working,CC
743,glue,paste,CC
731,magazine,publication,CC
736,collect,call,CC
723,sliding,slippery,CC
723,baseball,out,CC
728,pie,chart,CC
723,vellum,book,CC
727,propeller,beanie,CC
746,whiz,electric fence,CC
743,ferns,bracken,CC
734,hannibal,peanuts,CC
727,magma,lava,CC
743,spectre,james bond,CC
743,kong,ape,CC
742,waltz,straus,CC
743,attempt,try,CC
723,surf music,tunes,CC
743,eye,ceiling,CC
737,coward,cacciatore,CC
743,chaplin,military,CC
742,egg,yolk,CC
730,fallwell,evil,CC
727,amazed,maybe,CC
746,danger,will robinson,CC
743,temperature,centigrade,CC
743,a-team,hannibal,CC
743,psyche,willpower,CC
728,hong kong,bad lipsync,CC
728,birds,egg,CC
728,racket,pop music,CC
742,deleted,erased,CC
723,farted,mess,CC
728,down,hatchling,CC
736,pretty,woman,CC
730,hotel,california,CC
746,strike,force,CC
730,psychology,rorschach,CC
724,egypt,israel,CC
743,alien,grey,CC
723,tree house,angst,CC
737,woman,animal,CC
743,last,post,CC
743,judge,dredd,CC
728,stew,waiting,CC
742,cloud,cumulous,CC
742,eclectic,furniture,CC
736,nasal,spray,CC
736,marathon,race,CC
723,knights,dragons,CC
728,ending,sequel,CC
743,stackpole,estate,CC
730,manx,charlie,CC
728,novelties,comics,CC
728,butter,tango,CC
723,imagine,band,CC
743,cheese,cheddar,CC
723,drone,guitar,CC
737,purple,burple,CC
743,criminal,conspiracy,CC
737,antoinette,cake,CC
731,caesar,chimpanzee,CC
743,hunchback,notre dame,CC
743,thunder,thor,CC
736,camera,candid,CC
736,petrified,wood,CC
737,pixie,dust,CC
728,rivers,joan,CC
746,my,sharona,CC
737,pete,trapster,CC
736,gloves,mittens,CC
743,sky,high,CC
743,pounding,nails,CC
743,gesture,rude,CC
736,barmy,frothy,CC
727,king,kong,CC
736,alpha flight,sasquatch,CC
743,500,indy,CC
746,evidence,circumstantial,CC
743,knuckleball,pitch,CC
743,water,pool,CC
743,divorce,court,CC
723,ballistic,report,CC
727,beach,ball,CC
731,crass,commune,CC
728,sleepy,hollow,CC
727,relativity,einstein,CC
746,nail,coffin,CC
728,pop,ear,CC
743,berry,hill,CC
728,knocks,fort,CC
728,amazons,dot com,CC
743,athena,olympus,CC
736,ladette,lady,CC
727,dewey,decimal,CC
743,french,letter,CC
743,gear,equipment,CC
743,conjunction,and,CC
728,heart,barracuda,CC
743,bastard,william,CC
737,earth,terran,CC
737,pig,bacon,CC
723,pump,tire,CC
736,aral,polluted,CC
736,walt,frazier,CC
746,gene,dancing,CC
728,sally,forth,CC
737,different,unusual,CC
743,plymouth,rock,CC
743,bender,futurama,CC
736,void,empty,CC
728,face,lose,CC
737,pong,dickinson,CC
743,virtue,seven,CC
737,picard,borg,CC
737,adulteress,succubus,CC
730,shorty,birthday,CC
730,soldiers,sailors,CC
724,daffy,duck,CC
742,alabama,sweet home,CC
746,afghan,whigs,CC
746,bus,magic,CC
727,dance,revolution,CC
743,rob,roy,CC
723,roasted,peppers,CC
727,venetian,blind,CC
746,damned,yankees,CC
758,crying,game,CC
737,centipede,millipede,CC
727,pimple,pop,CC
743,tunnel,rat,CC
737,bridget jones,gidget,CC
743,whale frog,amphibian,CC
731,ice cream,sandwich,CC
736,trial,error,CC
730,kebab,lamb,CC
743,climb,mountain,CC
743,dry wall,fibro,CC
728,construction,mind,CC
743,under,boob,CC
723,excavation,plan,CC
728,quick,nestl,CC
728,power,battery,CC
743,patch,nicotine,CC
743,decades,ten,CC
736,mix,match,CC
730,thin-skinned,crybaby,CC
730,open,sesame,CC
730,party,balloons,CC
736,country & western,rock & roll,CC
737,ostentatious,arrogance,CC
743,piercing,ear,CC
737,faint,unconscious,CC
737,judge,hanging,CC
743,browning,automatic,CC
730,straw,man,CC
746,automatic,semi,CC
728,code,walrus,CC
742,master,doctor,CC
743,attack,dog,CC
746,hiroshima,barefoot gen,CC
731,off,feck,CC
743,infant,formula,CC
736,transformer,decepticon,CC
723,ape,planet,CC
743,flying,fool,CC
736,duby,hobbit,CC
743,tulip,holland,CC
727,canada,north,CC
730,weasel,chicken,CC
727,fish,tacos,CC
728,commission,battlefield,CC
743,movies,silent,CC
723,heart,attack,CC
723,mbalax,drums,CC
723,boxer,knockout,CC
743,landing,fish,CC
742,plant,zombies,CC
728,tar pit,la brea,CC
737,sperrys,petrified,CC
746,ice,vanilla,CC
737,fields,forever,CC
755,columbus,circle,CC
737,nightshade,poison,CC
728,strawberry,fields,CC
737,comics,comedians,CC
730,grapes,wrath,CC
736,bag,grocery,CC
750,in,side,CC
736,grinder,meat,CC
743,simpletons,morons,CC
723,dallas,kennedy,CC
728,sentence,judge,CC
743,tennis shoes,feet,CC
723,crime,bite,CC
728,time,money,CC
736,ice,black,CC
743,weasel,stoat,CC
746,wellington,beef,CC
728,moon,hoax,CC
743,sanders,greg,CC
736,racing,results,CC
727,street,cred,CC
746,gloss,pulp,CC
724,indecipherable,cricket,CC
743,film,camera,CC
728,bananarama,banana splits,CC
743,sky,fall,CC
743,deadly,nightshade,CC
753,bump,bro,CC
743,metrodome,garbage,CC
743,singer,machine,CC
743,storm,front,CC
730,sisyphus,futile,CC
743,haberdasher,dry goods,CC
728,vandal,goth,CC
