ID,Year,Player,Pos,Age,Tm,G,TS%,FTr,OWS,DWS,WS,FG,FGA,FG%,2P,2PA,2P%,eFG%,FT,FTA,FT%,AST,PF,PTS
28,1950.0,Bob Carpenter,F-C,32.0,FTW,66.0,0.42100000000000004,0.415,2.2,2.8,5.0,212.0,617.0,0.344,212.0,617.0,0.344,0.344,190.0,256.0,0.742,92.0,168.0,614.0
29,1950.0,Jake Carter,F-C,25.0,TOT,24.0,0.41700000000000004,0.7070000000000001,0.3,0.4,0.7,23.0,75.0,0.307,23.0,75.0,0.307,0.307,36.0,53.0,0.679,24.0,59.0,82.0
30,1950.0,Jake Carter,F-C,25.0,DNN,13.0,0.39,0.578,0.1,-0.1,0.0,13.0,45.0,0.289,13.0,45.0,0.289,0.289,18.0,26.0,0.6920000000000001,16.0,27.0,44.0
31,1950.0,Jake Carter,F-C,25.0,AND,11.0,0.45399999999999996,0.9,0.2,0.5,0.7,10.0,30.0,0.33299999999999996,10.0,30.0,0.33299999999999996,0.33299999999999996,18.0,27.0,0.667,8.0,32.0,38.0
32,1950.0,Al Cervi*,PG,32.0,SYR,56.0,0.491,0.8029999999999999,5.9,3.4,9.3,143.0,431.0,0.332,143.0,431.0,0.332,0.332,287.0,346.0,0.8290000000000001,264.0,223.0,573.0
33,1950.0,John Chaney,F-C,29.0,TOT,16.0,0.354,0.337,-0.2,0.1,-0.1,25.0,86.0,0.29100000000000004,25.0,86.0,0.29100000000000004,0.29100000000000004,20.0,29.0,0.69,20.0,23.0,70.0
34,1950.0,John Chaney,F-C,29.0,TRI,6.0,0.331,0.324,-0.1,0.1,0.0,10.0,37.0,0.27,10.0,37.0,0.27,0.27,8.0,12.0,0.667,15.0,13.0,28.0
35,1950.0,John Chaney,F-C,29.0,SHE,10.0,0.37200000000000005,0.34700000000000003,0.0,0.0,-0.1,15.0,49.0,0.306,15.0,49.0,0.306,0.306,12.0,17.0,0.706,5.0,10.0,42.0
36,1950.0,Leroy Chollet,F,24.0,SYR,49.0,0.385,0.313,0.1,0.8,0.9,61.0,179.0,0.341,61.0,179.0,0.341,0.341,35.0,56.0,0.625,37.0,52.0,157.0
37,1950.0,Bill Closs,SF,28.0,AND,64.0,0.37200000000000005,0.28800000000000003,-0.5,4.9,4.4,283.0,898.0,0.315,283.0,898.0,0.315,0.315,186.0,259.0,0.718,160.0,190.0,752.0
38,1950.0,Paul Cloyd,G-F,29.0,TOT,7.0,0.322,0.308,-0.1,0.0,-0.1,7.0,26.0,0.26899999999999996,7.0,26.0,0.26899999999999996,0.26899999999999996,5.0,8.0,0.625,2.0,5.0,19.0
39,1950.0,Paul Cloyd,G-F,29.0,BLB,3.0,0.268,0.375,-0.1,0.0,-0.1,1.0,8.0,0.125,1.0,8.0,0.125,0.125,3.0,3.0,1.0,1.0,4.0,5.0
40,1950.0,Paul Cloyd,G-F,29.0,WAT,4.0,0.34700000000000003,0.278,-0.1,0.0,-0.1,6.0,18.0,0.33299999999999996,6.0,18.0,0.33299999999999996,0.33299999999999996,2.0,5.0,0.4,1.0,1.0,14.0
41,1950.0,Jack Coleman,PF,25.0,ROC,68.0,0.41200000000000003,0.183,1.9,2.5,4.3,250.0,663.0,0.377,250.0,663.0,0.377,0.377,90.0,121.0,0.7440000000000001,153.0,223.0,590.0
42,1950.0,Bobby Cook,G-F,26.0,SHE,51.0,0.42,0.292,2.1,-0.3,1.9,222.0,620.0,0.358,222.0,620.0,0.358,0.358,143.0,181.0,0.79,158.0,114.0,587.0
43,1950.0,Ray Corley,G,22.0,SYR,60.0,0.365,0.33,-0.3,1.6,1.2,117.0,370.0,0.316,117.0,370.0,0.316,0.316,75.0,122.0,0.615,109.0,81.0,309.0
44,1950.0,Jack Cotton,F-C,25.0,DNN,54.0,0.34299999999999997,0.485,-1.0,-0.5,-1.5,97.0,332.0,0.292,97.0,332.0,0.292,0.292,82.0,161.0,0.509,65.0,184.0,276.0
45,1950.0,Dillard Crocker,PF,25.0,DNN,53.0,0.369,0.377,-0.9,-0.8,-1.7,245.0,840.0,0.292,245.0,840.0,0.292,0.292,233.0,317.0,0.735,85.0,223.0,723.0
46,1950.0,Chink Crossin,G,26.0,PHW,64.0,0.363,0.17600000000000002,-0.6,2.7,2.1,185.0,574.0,0.322,185.0,574.0,0.322,0.322,79.0,101.0,0.782,148.0,139.0,449.0
47,1950.0,Fran Curran,G,27.0,ROC,66.0,0.579,1.026,5.5,1.1,6.6,98.0,235.0,0.41700000000000004,98.0,235.0,0.41700000000000004,0.41700000000000004,199.0,241.0,0.826,71.0,113.0,395.0
48,1950.0,Jimmy Darden,G,27.0,DNN,26.0,0.379,0.32899999999999996,0.1,-0.3,-0.2,78.0,243.0,0.321,78.0,243.0,0.321,0.321,55.0,80.0,0.688,67.0,67.0,211.0
49,1950.0,Bob Davies*,PG,30.0,ROC,64.0,0.43,0.391,4.7,2.9,7.7,317.0,887.0,0.35700000000000004,317.0,887.0,0.35700000000000004,0.35700000000000004,261.0,347.0,0.752,294.0,187.0,895.0
50,1950.0,Hook Dillon,F,26.0,WSC,22.0,0.278,0.4,-0.5,0.2,-0.4,10.0,55.0,0.182,10.0,55.0,0.182,0.182,16.0,22.0,0.727,5.0,19.0,36.0
51,1950.0,Earl Dodd,F,25.0,DNN,9.0,0.257,0.185,-0.3,0.0,-0.3,6.0,27.0,0.222,6.0,27.0,0.222,0.222,3.0,5.0,0.6,6.0,13.0,15.0
52,1950.0,Joe Dolhon,G,22.0,BLB,64.0,0.401,0.467,1.4,1.6,3.0,143.0,458.0,0.312,143.0,458.0,0.312,0.312,157.0,214.0,0.7340000000000001,155.0,193.0,443.0
53,1950.0,Bob Doll,F-C,30.0,BOS,47.0,0.397,0.32899999999999996,0.7,0.9,1.6,120.0,347.0,0.34600000000000003,120.0,347.0,0.34600000000000003,0.34600000000000003,75.0,114.0,0.6579999999999999,108.0,117.0,315.0
54,1950.0,Harry Donovan,G,23.0,NYK,45.0,0.39299999999999996,0.385,0.3,0.7,1.0,90.0,275.0,0.327,90.0,275.0,0.327,0.327,73.0,106.0,0.6890000000000001,38.0,107.0,253.0
55,1950.0,Andy Duncan,F-C,27.0,ROC,67.0,0.461,0.374,2.0,1.4,3.4,125.0,289.0,0.433,125.0,289.0,0.433,0.433,60.0,108.0,0.556,42.0,160.0,310.0
56,1950.0,Dike Eddleman,SF,27.0,TRI,64.0,0.405,0.287,1.6,2.1,3.7,332.0,906.0,0.366,332.0,906.0,0.366,0.366,162.0,260.0,0.623,142.0,254.0,826.0
57,1950.0,Gene Englund,F-C,32.0,TOT,46.0,0.502,0.701,3.2,1.0,4.2,104.0,274.0,0.38,104.0,274.0,0.38,0.38,152.0,192.0,0.792,41.0,167.0,360.0
58,1950.0,Gene Englund,F-C,32.0,BOS,24.0,0.503,0.716,1.8,0.5,2.3,55.0,148.0,0.37200000000000005,55.0,148.0,0.37200000000000005,0.37200000000000005,86.0,106.0,0.8109999999999999,17.0,97.0,196.0
59,1950.0,Gene Englund,F-C,32.0,TRI,22.0,0.5,0.6829999999999999,1.5,0.4,1.9,49.0,126.0,0.389,49.0,126.0,0.389,0.389,66.0,86.0,0.767,24.0,70.0,164.0
60,1950.0,Bob Evans,G,24.0,INO,47.0,0.324,0.22,-0.8,0.5,-0.3,56.0,200.0,0.28,56.0,200.0,0.28,0.28,30.0,44.0,0.682,55.0,99.0,142.0
61,1950.0,Johnny Ezersky,F-G,27.0,TOT,54.0,0.364,0.376,-0.7,1.1,0.5,143.0,487.0,0.294,143.0,487.0,0.294,0.294,127.0,183.0,0.6940000000000001,86.0,139.0,413.0
62,1950.0,Johnny Ezersky,F-G,27.0,BLB,38.0,0.374,0.376,-0.2,0.8,0.7,107.0,351.0,0.305,107.0,351.0,0.305,0.305,92.0,132.0,0.6970000000000001,64.0,100.0,306.0
63,1950.0,Johnny Ezersky,F-G,27.0,BOS,16.0,0.33799999999999997,0.375,-0.5,0.3,-0.2,36.0,136.0,0.265,36.0,136.0,0.265,0.265,35.0,51.0,0.6859999999999999,22.0,39.0,107.0
64,1950.0,Bob Feerick,F-G,30.0,WSC,60.0,0.419,0.348,2.1,1.6,3.6,172.0,500.0,0.344,172.0,500.0,0.344,0.344,139.0,174.0,0.799,127.0,140.0,483.0
65,1950.0,George Feigenbaum,G,20.0,BLB,12.0,0.27699999999999997,0.316,-0.5,0.1,-0.4,14.0,57.0,0.24600000000000002,14.0,57.0,0.24600000000000002,0.24600000000000002,8.0,18.0,0.444,10.0,15.0,36.0
66,1950.0,Arnie Ferrin,F-G,24.0,MNL,63.0,0.38299999999999995,0.275,0.2,2.3,2.6,132.0,396.0,0.33299999999999996,132.0,396.0,0.33299999999999996,0.33299999999999996,76.0,109.0,0.6970000000000001,95.0,147.0,340.0
67,1950.0,Jerry Fleishman,SG,27.0,PHW,65.0,0.354,0.428,-0.5,2.1,1.6,102.0,353.0,0.289,102.0,353.0,0.289,0.289,93.0,151.0,0.616,118.0,129.0,297.0
68,1950.0,Joe Fulks*,PF,28.0,PHW,68.0,0.34600000000000003,0.348,-4.4,3.7,-0.8,336.0,1209.0,0.278,336.0,1209.0,0.278,0.278,293.0,421.0,0.696,56.0,240.0,965.0
69,1950.0,Bill Gabor,SG,27.0,SYR,56.0,0.395,0.34,0.7,2.8,3.5,226.0,671.0,0.337,226.0,671.0,0.337,0.337,157.0,228.0,0.6890000000000001,108.0,198.0,609.0
70,1950.0,Elmer Gainer,F-C,31.0,WAT,15.0,0.312,0.22899999999999998,-0.2,-0.1,-0.3,9.0,35.0,0.257,9.0,35.0,0.257,0.257,6.0,8.0,0.75,7.0,28.0,24.0
71,1950.0,Harry Gallatin*,F-C,22.0,NYK,68.0,0.48700000000000004,0.551,6.5,1.4,7.8,263.0,664.0,0.396,263.0,664.0,0.396,0.396,277.0,366.0,0.757,56.0,215.0,803.0
72,1950.0,Vern Gardner,SG,24.0,PHW,63.0,0.408,0.32299999999999995,2.2,3.6,5.9,313.0,916.0,0.342,313.0,916.0,0.342,0.342,227.0,296.0,0.767,119.0,236.0,853.0
73,1950.0,Frank Gates,G,29.0,AND,64.0,0.322,0.244,-1.7,3.0,1.3,113.0,402.0,0.281,113.0,402.0,0.281,0.281,61.0,98.0,0.622,91.0,147.0,287.0
74,1950.0,Dee Gibson,F-G,26.0,TRI,44.0,0.435,0.722,1.7,1.0,2.7,77.0,245.0,0.314,77.0,245.0,0.314,0.314,127.0,177.0,0.718,126.0,113.0,281.0
75,1950.0,Hoot Gibson,F-C,28.0,TOT,32.0,0.39399999999999996,0.32799999999999996,0.2,-0.2,0.0,67.0,195.0,0.344,67.0,195.0,0.344,0.344,42.0,64.0,0.6559999999999999,37.0,106.0,176.0
76,1950.0,Hoot Gibson,F-C,28.0,BOS,2.0,0.608,1.0,0.1,0.0,0.1,3.0,4.0,0.75,3.0,4.0,0.75,0.75,1.0,4.0,0.25,1.0,3.0,7.0
77,1950.0,Hoot Gibson,F-C,28.0,WAT,30.0,0.389,0.314,0.1,-0.2,-0.1,64.0,191.0,0.335,64.0,191.0,0.335,0.335,41.0,60.0,0.6829999999999999,36.0,103.0,169.0
78,1950.0,Chuck Gilmur,F-C,27.0,WSC,68.0,0.431,0.636,2.3,2.0,4.3,127.0,379.0,0.335,127.0,379.0,0.335,0.335,164.0,241.0,0.68,108.0,275.0,418.0
80,1950.0,Paul Gordon,F,22.0,BLB,4.0,0.183,0.833,-0.1,0.0,-0.1,0.0,6.0,0.0,0.0,6.0,0.0,0.0,3.0,5.0,0.6,3.0,3.0,3.0
81,1950.0,Joe Graboski,F-C,20.0,CHS,57.0,0.355,0.36,-0.6,1.2,0.6,75.0,247.0,0.304,75.0,247.0,0.304,0.304,53.0,89.0,0.596,37.0,95.0,203.0
82,1950.0,Bud Grant,F,22.0,MNL,35.0,0.371,0.14800000000000002,-0.1,0.6,0.5,42.0,115.0,0.365,42.0,115.0,0.365,0.365,7.0,17.0,0.41200000000000003,19.0,36.0,91.0
83,1950.0,Don Grate,F-G,26.0,SHE,2.0,0.29100000000000004,0.33299999999999996,0.0,0.0,0.0,1.0,6.0,0.16699999999999998,1.0,6.0,0.16699999999999998,0.16699999999999998,2.0,2.0,1.0,3.0,3.0,4.0
84,1950.0,Alex Groza,C,23.0,INO,64.0,0.5479999999999999,0.5720000000000001,16.5,1.4,17.9,521.0,1090.0,0.478,521.0,1090.0,0.478,0.478,454.0,623.0,0.7290000000000001,162.0,221.0,1496.0
85,1950.0,Al Guokas,F-G,24.0,TOT,57.0,0.33299999999999996,0.16699999999999998,-0.9,-0.1,-1.0,93.0,299.0,0.311,93.0,299.0,0.311,0.311,28.0,50.0,0.56,95.0,143.0,214.0
86,1950.0,Al Guokas,F-G,24.0,DNN,41.0,0.33799999999999997,0.17300000000000001,-0.7,-0.4,-1.1,86.0,271.0,0.317,86.0,271.0,0.317,0.317,25.0,47.0,0.532,85.0,116.0,197.0
87,1950.0,Al Guokas,F-G,24.0,PHW,16.0,0.29,0.107,-0.2,0.3,0.1,7.0,28.0,0.25,7.0,28.0,0.25,0.25,3.0,3.0,1.0,10.0,27.0,17.0
88,1950.0,Robert Hahn,C,24.0,CHS,10.0,0.311,0.5379999999999999,-0.1,0.1,0.1,4.0,13.0,0.308,4.0,13.0,0.308,0.308,2.0,7.0,0.28600000000000003,1.0,17.0,10.0
89,1950.0,Chick Halbert,C,30.0,WSC,68.0,0.45399999999999996,0.616,2.4,1.2,3.6,108.0,284.0,0.38,108.0,284.0,0.38,0.38,112.0,175.0,0.64,89.0,136.0,328.0
90,1950.0,Bruce Hale,G-F,31.0,INO,64.0,0.444,0.46399999999999997,4.1,1.1,5.1,217.0,614.0,0.353,217.0,614.0,0.353,0.353,223.0,285.0,0.782,226.0,143.0,657.0
91,1950.0,Dale Hamilton,G-F,30.0,WAT,14.0,0.302,0.5760000000000001,-0.2,-0.1,-0.3,8.0,33.0,0.242,8.0,33.0,0.242,0.242,9.0,19.0,0.474,17.0,30.0,25.0
92,1950.0,Alex Hannum*,PF,26.0,SYR,64.0,0.423,0.381,2.0,3.2,5.1,177.0,488.0,0.363,177.0,488.0,0.363,0.363,128.0,186.0,0.688,129.0,264.0,482.0
93,1950.0,John Hargis,G-F,29.0,AND,60.0,0.479,0.504,4.8,3.6,8.4,223.0,550.0,0.405,223.0,550.0,0.405,0.405,197.0,277.0,0.711,102.0,170.0,643.0
94,1950.0,Bob Harris,F-C,22.0,FTW,62.0,0.423,0.48,2.1,3.0,5.0,168.0,465.0,0.361,168.0,465.0,0.361,0.361,140.0,223.0,0.628,129.0,190.0,476.0
95,1950.0,Bob Harrison,G,22.0,MNL,66.0,0.39399999999999996,0.213,0.7,2.7,3.5,125.0,348.0,0.359,125.0,348.0,0.359,0.359,50.0,74.0,0.6759999999999999,131.0,175.0,300.0
96,1950.0,Billy Hassett,G,28.0,TOT,60.0,0.365,0.5329999999999999,0.0,1.8,1.8,84.0,302.0,0.278,84.0,302.0,0.278,0.278,104.0,161.0,0.6459999999999999,137.0,136.0,272.0
97,1950.0,Billy Hassett,G,28.0,TRI,18.0,0.406,0.599,0.6,0.5,1.1,46.0,157.0,0.293,46.0,157.0,0.293,0.293,69.0,94.0,0.7340000000000001,68.0,54.0,161.0
98,1950.0,Billy Hassett,G,28.0,MNL,42.0,0.318,0.462,-0.6,1.3,0.7,38.0,145.0,0.262,38.0,145.0,0.262,0.262,35.0,67.0,0.522,69.0,82.0,111.0
99,1950.0,Marshall Hawkins,F,25.0,INO,39.0,0.34299999999999997,0.313,-0.5,0.4,-0.1,55.0,195.0,0.282,55.0,195.0,0.282,0.282,42.0,61.0,0.6890000000000001,51.0,87.0,152.0
100,1950.0,Bill Henry,C,25.0,TOT,63.0,0.41600000000000004,0.633,1.0,1.5,2.5,89.0,278.0,0.32,89.0,278.0,0.32,0.32,118.0,176.0,0.67,48.0,122.0,296.0
101,1950.0,Bill Henry,C,25.0,FTW,44.0,0.405,0.598,0.6,1.3,1.9,65.0,209.0,0.311,65.0,209.0,0.311,0.311,84.0,125.0,0.672,39.0,99.0,214.0
102,1950.0,Bill Henry,C,25.0,TRI,19.0,0.44799999999999995,0.7390000000000001,0.4,0.2,0.6,24.0,69.0,0.348,24.0,69.0,0.348,0.348,34.0,51.0,0.667,9.0,23.0,82.0
103,1950.0,Bill Herman,G,25.0,DNN,13.0,0.401,0.16899999999999998,0.1,-0.1,0.1,25.0,65.0,0.385,25.0,65.0,0.385,0.385,6.0,11.0,0.545,15.0,13.0,56.0
104,1950.0,Kleggie Hermsen,C-F,26.0,CHS,67.0,0.377,0.402,-0.2,3.3,3.0,196.0,615.0,0.319,196.0,615.0,0.319,0.319,153.0,247.0,0.619,98.0,267.0,545.0
105,1950.0,Sonny Hertzberg,G,27.0,BOS,68.0,0.365,0.221,-0.9,1.6,0.7,275.0,865.0,0.318,275.0,865.0,0.318,0.318,143.0,191.0,0.7490000000000001,200.0,153.0,693.0
106,1950.0,Paul Hoffman,G-F,24.0,BLB,60.0,0.40299999999999997,0.39799999999999996,2.0,2.1,4.1,312.0,914.0,0.341,312.0,914.0,0.341,0.341,242.0,364.0,0.665,161.0,234.0,866.0
107,1950.0,Joe Holland,SF,24.0,INO,64.0,0.376,0.313,0.1,1.1,1.2,145.0,453.0,0.32,145.0,453.0,0.32,0.32,98.0,142.0,0.69,130.0,220.0,388.0
108,1950.0,Red Holzman*,PG,29.0,ROC,68.0,0.38799999999999996,0.336,0.9,1.7,2.5,206.0,625.0,0.33,206.0,625.0,0.33,0.33,144.0,210.0,0.6859999999999999,200.0,67.0,556.0
109,1950.0,Gene James,F,24.0,NYK,29.0,0.335,0.484,-0.2,0.3,0.1,19.0,64.0,0.297,19.0,64.0,0.297,0.297,14.0,31.0,0.452,20.0,53.0,52.0
110,1950.0,Howie Janotta,F,25.0,BLB,9.0,0.418,0.5329999999999999,0.1,0.1,0.2,9.0,30.0,0.3,9.0,30.0,0.3,0.3,13.0,16.0,0.813,4.0,10.0,31.0
111,1950.0,Tony Jaros,F-G,29.0,MNL,61.0,0.36200000000000004,0.332,-0.4,1.7,1.3,84.0,289.0,0.29100000000000004,84.0,289.0,0.29100000000000004,0.29100000000000004,72.0,96.0,0.75,60.0,106.0,240.0
112,1950.0,Buddy Jeannette*,G,32.0,BLB,37.0,0.467,0.899,1.9,0.7,2.6,42.0,148.0,0.284,42.0,148.0,0.284,0.284,109.0,133.0,0.82,93.0,82.0,193.0
113,1950.0,Arnie Johnson,SF,29.0,ROC,68.0,0.493,0.782,4.8,2.4,7.2,149.0,376.0,0.396,149.0,376.0,0.396,0.396,200.0,294.0,0.68,141.0,260.0,498.0
114,1950.0,Ralph Johnson,PG,28.0,TOT,67.0,0.353,0.166,-1.5,4.5,2.9,243.0,779.0,0.312,243.0,779.0,0.312,0.312,104.0,129.0,0.8059999999999999,171.0,207.0,590.0
115,1950.0,Ralph Johnson,PG,28.0,AND,35.0,0.364,0.195,-0.4,2.8,2.4,133.0,426.0,0.312,133.0,426.0,0.312,0.312,71.0,83.0,0.855,104.0,112.0,337.0
116,1950.0,Ralph Johnson,PG,28.0,FTW,32.0,0.33899999999999997,0.13,-1.2,1.7,0.5,110.0,353.0,0.312,110.0,353.0,0.312,0.312,33.0,46.0,0.7170000000000001,67.0,95.0,253.0
117,1950.0,Wah Wah,PF,23.0,INO,60.0,0.449,0.42100000000000004,4.5,1.4,5.9,264.0,706.0,0.374,264.0,706.0,0.374,0.374,223.0,297.0,0.7509999999999999,194.0,241.0,751.0
118,1950.0,Noble Jorgensen,C,24.0,SHE,54.0,0.456,0.5660000000000001,4.1,-0.3,3.8,218.0,618.0,0.353,218.0,618.0,0.353,0.353,268.0,350.0,0.7659999999999999,90.0,201.0,704.0
119,1950.0,George Kaftan,SF,21.0,BOS,55.0,0.426,0.389,2.3,1.0,3.4,199.0,535.0,0.37200000000000005,199.0,535.0,0.37200000000000005,0.37200000000000005,136.0,208.0,0.654,145.0,92.0,534.0
120,1950.0,Leo Katkaveck,G,26.0,WSC,54.0,0.33299999999999996,0.17,-1.2,1.0,-0.2,101.0,330.0,0.306,101.0,330.0,0.306,0.306,34.0,56.0,0.607,68.0,102.0,236.0
121,1950.0,Jack Kerris,PF,25.0,TOT,68.0,0.406,0.541,1.4,2.7,4.1,157.0,481.0,0.326,157.0,481.0,0.326,0.326,169.0,260.0,0.65,118.0,175.0,483.0
122,1950.0,Jack Kerris,PF,25.0,TRI,4.0,0.41600000000000004,0.462,0.1,0.1,0.2,8.0,26.0,0.308,8.0,26.0,0.308,0.308,10.0,12.0,0.833,8.0,13.0,26.0
123,1950.0,Jack Kerris,PF,25.0,FTW,64.0,0.405,0.545,1.3,2.6,3.9,149.0,455.0,0.327,149.0,455.0,0.327,0.327,159.0,248.0,0.6409999999999999,110.0,162.0,457.0
124,1950.0,Bob Kinney,C-F,29.0,BOS,60.0,0.43799999999999994,0.515,3.2,1.6,4.8,233.0,621.0,0.375,233.0,621.0,0.375,0.375,201.0,320.0,0.628,100.0,251.0,667.0
125,1950.0,Walt Kirk,PG,25.0,TOT,58.0,0.38299999999999995,0.598,0.3,2.0,2.3,97.0,361.0,0.26899999999999996,97.0,361.0,0.26899999999999996,0.26899999999999996,155.0,216.0,0.718,103.0,155.0,349.0
126,1950.0,Walt Kirk,PG,25.0,AND,26.0,0.368,0.664,0.0,1.3,1.3,31.0,125.0,0.248,31.0,125.0,0.248,0.248,57.0,83.0,0.687,43.0,63.0,119.0
