ID,Player,height,weight,college,born,birth_city,birth_state
56,Elmer Gainer,198.0,88.0,DePaul University,1918.0,Chicago,Illinois
57,Harry Gallatin*,198.0,95.0,Truman State University,1927.0,Roxana,Illinois
58,Vern Gardner,196.0,90.0,University of Utah,1925.0,Afton,Wyoming
66,Bud Grant,190.0,88.0,University of Minnesota,1927.0,Superior,Wisconsin
67,Don Grate,188.0,83.0,Ohio State University,1923.0,Greenfield,Ohio
68,Alex Groza,201.0,98.0,University of Kentucky,1926.0,Martins Ferry,Ohio
71,Chick Halbert,206.0,102.0,West Texas A&M University,1919.0,Albany,Texas
72,Bruce Hale,185.0,77.0,Santa Clara University,1918.0,Medford,Oregon
74,Alex Hannum*,201.0,95.0,University of Southern California,1923.0,Los Angeles,California
75,John Hargis,188.0,81.0,University of Texas at Austin,1920.0,Nacogdoches,Texas
76,Bob Harris,201.0,88.0,Oklahoma State University,1927.0,Linden,Tennessee
77,Bob Harrison,201.0,88.0,Oklahoma State University,1927.0,Linden,Tennessee
79,Marshall Hawkins,190.0,92.0,University of Tennessee,1924.0,Huntington,West Virginia
80,Bill Henry,206.0,97.0,Rice University,1924.0,Dallas,Texas
82,Kleggie Hermsen,206.0,102.0,University of Minnesota,1923.0,Hill City,Minnesota
83,Sonny Hertzberg,178.0,79.0,City College of New York,1922.0,Brooklyn,New York
86,Red Holzman*,178.0,79.0,City College of New York,1920.0,Brooklyn,New York
87,Gene James,193.0,81.0,Marshall University,1925.0,Ironton,Ohio
89,Tony Jaros,190.0,83.0,University of Minnesota,1920.0,Minneapolis,Minnesota
90,Buddy Jeannette*,180.0,79.0,Washington & Jefferson College,1917.0,New Kensington,Pennsylvania
91,Arnie Johnson,196.0,107.0,Bemidji State University,1920.0,Gonvick,Minnesota
95,George Kaftan,190.0,86.0,College of the Holy Cross,1928.0,New York,New York
98,Bob Kinney,198.0,97.0,Rice University,1920.0,Fort Scott,Kansas
99,Walt Kirk,190.0,78.0,University of Illinois at Urbana-Champaign,1924.0,Mount Vernon,Illinois
100,Leo Klier,188.0,77.0,University of Notre Dame,1923.0,Washington,Indiana
101,Duane Klueh,190.0,79.0,Indiana State University,1926.0,Bottineau,North Dakota
102,Lee Knorek,201.0,97.0,University of Detroit Mercy,1921.0,Warsaw,Poland
107,Tony Lavelli,190.0,83.0,Yale University,1926.0,Somerville,Massachusetts
109,Andrew Levane,188.0,86.0,St. John's University,1920.0,Brooklyn,New York
110,Freddie Lewis,188.0,88.0,Eastern Kentucky University,1921.0,Brooklyn,New York
112,John Logan,188.0,79.0,Indiana University,1921.0,Richmond,Indiana
113,Ray Lumpp,185.0,80.0,New York University,1923.0,Brooklyn,New York
114,Ed Macauley*,203.0,83.0,Saint Louis University,1928.0,St. Louis,Missouri
116,John Mahnken,203.0,99.0,Georgetown University,1922.0,New Jersey,New Jersey
117,John Mandic,193.0,92.0,Oregon State University,1919.0,Los Angeles,California
118,Slater Martin*,178.0,77.0,University of Texas at Austin,1925.0,El Mina,Texas
119,Ariel Maughan,193.0,86.0,Utah State University,1923.0,Salt Lake City,Utah
120,Matt Mazza,190.0,95.0,Michigan State University,1923.0,Niagara Falls,New York
122,Dick McGuire*,183.0,81.0,St. John's University,1926.0,Huntington,New York
123,Bones McKinney,198.0,83.0,University of North Carolina,1919.0,Lowlands,North Carolina
129,George Mikan*,208.0,111.0,DePaul University,1924.0,Joliet,Illinois
130,Vern Mikkelsen*,201.0,104.0,Hamline University,1928.0,Fresno,California
135,Joe Mullaney,183.0,74.0,College of the Holy Cross,1925.0,Long Island,New York
136,Jerry Nagel,183.0,86.0,Loyola University of Chicago,1928.0,Chicago,Illinois
138,Richie Niemiera,185.0,74.0,University of Notre Dame,1921.0,Chicago,Illinois
139,Paul Noel,193.0,83.0,University of Kentucky,1924.0,Midway,Kentucky
140,Jim Nolan,203.0,95.0,Georgia Institute of Technology,1927.0,Macon,Georgia
141,Johnny Norlander,190.0,81.0,Hamline University,1921.0,Virginia,Minnesota
142,George Nostrand,203.0,88.0,University of Wyoming,1924.0,Uniondale,New York
143,Mike Novak,206.0,99.0,Loyola University of Chicago,1915.0,Chicago,Illinois
146,Dick O'Keefe,188.0,83.0,Santa Clara University,1923.0,San Francisco,California
147,John Oldham,190.0,79.0,Western Kentucky University,1923.0,Beaver Dam,Kentucky
148,Gene Ollrich,180.0,72.0,Drake University,1922.0,Whiting,Indiana
149,Johnny Orr,190.0,88.0,Beloit College,1927.0,Yale,Kansas
150,Don Otten,208.0,108.0,Bowling Green State University,1921.0,Bellefontaine,Ohio
151,Mac Otten,201.0,99.0,Bowling Green State University,1925.0,Bellefontaine,Ohio
153,Easy Parham,190.0,90.0,Texas Wesleyan University,1921.0,Fort Worth,Texas
154,Jack Parkinson,183.0,78.0,University of Kentucky,1924.0,Yorktown,Indiana
158,Warren Perkins,190.0,86.0,Tulane University,1922.0,New Orleans,Louisiana
160,Jack Phelan,196.0,88.0,DePaul University,1925.0,Chicago,Illinois
161,Andy Phillip*,188.0,88.0,University of Illinois at Urbana-Champaign,1922.0,Granite City,Illinois
162,Jim Pollard*,193.0,83.0,Stanford University,1922.0,Oakland,California
167,Don Ray,196.0,86.0,Western Kentucky University,1921.0,Mt. Juliet,Tennessee
169,Arnie Risen*,206.0,90.0,Ohio State University,1924.0,Williamstown,Kentucky
170,Tex Ritter,188.0,83.0,Eastern Kentucky University,1924.0,Richmond,Kentucky
171,Bill Roberts,206.0,95.0,University of Wyoming,1925.0,Fort Wayne,Indiana
172,Red Rocha,206.0,83.0,Oregon State University,1923.0,Hilo,Hawaii
173,Kenny Rollins,183.0,76.0,University of Kentucky,1923.0,Charlestown,Missouri
175,Jerry Rullo,178.0,74.0,Temple University,1923.0,Philadelphia,Pennsylvania
176,Ed Sadowski,196.0,108.0,Seton Hall University,1917.0,Johnstown,Pennsylvania
177,Kenny Sailors,178.0,79.0,University of Wyoming,1921.0,Bushnell,Nebraska
179,Herm Schaefer,183.0,79.0,Indiana University,1918.0,Fort Wayne,Indiana
181,Fred Schaus,196.0,92.0,West Virginia University,1925.0,Newark,Ohio
182,Dolph Schayes*,203.0,99.0,New York University,1928.0,New York,New York
184,Howie Schultz,198.0,90.0,Hamline University,1922.0,St. Paul,Minnesota
185,Dick Schulz,188.0,87.0,University of Wisconsin,1917.0,Racine,Wisconsin
186,Fred Scolari,178.0,81.0,University of San Francisco,1922.0,San Francisco,California
187,Wayne See,190.0,86.0,Northern Arizona University,1923.0,Clemenceau,Arizona
189,Rollie Seltz,178.0,74.0,Hamline University,1924.0,McIntosh,Minnesota
190,Jim Seminoff,188.0,86.0,University of Southern California,1922.0,Los Angelse,California
191,George Senesky,188.0,81.0,Saint Joseph's University,1922.0,Mahanoy City,Pennsylvania
192,Paul Seymour,185.0,81.0,University of Toledo,1928.0,Toledo,Ohio
193,Carl Shaeffer,190.0,83.0,University of Alabama,1924.0,Delphi,Indiana
194,Howie Shannon,188.0,79.0,Kansas State University,1923.0,Manhattan,Kansas
197,Belus Smawley,185.0,88.0,Appalachian State University,1918.0,Golden Valley,North Carolina
198,Jack Smiley,190.0,86.0,University of Illinois at Urbana-Champaign,1922.0,Sandwich,Illinois
201,Art Spector,193.0,90.0,Villanova University,1920.0,Philadelphia,Pennsylvania
205,Jack Toomay,198.0,97.0,University of the Pacific,1922.0,Ontario,California
206,Bob Tough,183.0,83.0,St. John's University,1920.0,New York,New York
207,Blackie Towery,193.0,95.0,Western Kentucky University,1920.0,Caldwell,Kentucky
208,Dick Triptow,183.0,77.0,DePaul University,1922.0,Chicago,Illinois
211,Ernie Vandeweghe,190.0,88.0,Colgate University,1928.0,Montreal,Canada
212,Floyd Volker,193.0,92.0,University of Wyoming,1921.0,Casper,Wyoming
214,Clint Wager,198.0,95.0,Saint Mary's University of Minnesota,1920.0,Winona,Minnesota
216,Brady Walker,198.0,92.0,Brigham Young University,1921.0,Provo,Utah
217,Paul Walther,188.0,72.0,University of Tennessee,1927.0,Covington,Kentucky
218,Bobby Wanzer*,183.0,77.0,Seton Hall University,1921.0,Brooklyn,New York
219,Murray Wier,175.0,70.0,University of Iowa,1926.0,Grand View,Iowa
222,Max Zaslofsky,188.0,77.0,St. John's University,1925.0,Brooklyn,New York
224,Paul Arizin*,193.0,86.0,Villanova University,1928.0,Philadelphia,Pennsylvania
227,Ike Borsavage,203.0,99.0,Temple University,1924.0,Plymouth,Pennsylvania
229,Gerry Calabrese,185.0,79.0,St. John's University,1925.0,Hoboken,New Jersey
231,Nat Clifton*,198.0,99.0,Xavier University of Louisiana,1922.0,Little Rock,Arkansas
233,Bob Cousy*,185.0,79.0,College of the Holy Cross,1928.0,New York,New York
236,Ray Ellefson,203.0,104.0,West Texas A&M University,1922.0,Brookings,South Dakota
237,Larry Foust,206.0,97.0,La Salle University,1928.0,Painesville,Ohio
242,Don Lofgran,196.0,90.0,University of San Francisco,1928.0,Oakland,California
247,Tommy O'Keefe,188.0,83.0,Georgetown University,1928.0,Jersey City,New Jersey
248,Kevin O'Shea,188.0,79.0,University of Notre Dame,1925.0,San Francisco,California
249,Don Rehfeldt,201.0,95.0,University of Wisconsin,1927.0,Chicago,Illinois
251,Alan Sawyer,196.0,88.0,"University of California, Los Angeles",1928.0,Long Beach,California
253,Dick Schnittker,196.0,90.0,Ohio State University,1928.0,Kelleys Island,Ohio
254,Bill Sharman*,185.0,79.0,University of Southern California,1926.0,Abilene,Texas
255,Don Barksdale*,198.0,90.0,"University of California, Los Angeles",1923.0,Oakland,California
256,Elmer Behnke,201.0,95.0,Bradley University,1929.0,Rockford,Illinois
260,Dick Dickey,185.0,79.0,North Carolina State University,1926.0,Grant County,Indiana
263,Lew Hitch,203.0,90.0,Kansas State University,1929.0,Griggsville,Illinois
264,Mel Hutchins,198.0,90.0,Brigham Young University,1928.0,Sacramento,California
265,Neil Johnston*,203.0,95.0,Ohio State University,1929.0,Chillicothe,Ohio
267,George King,183.0,79.0,University of Charleston,1928.0,Charleston,West Virginia
268,John McConathy,196.0,88.0,Northwestern State University,1930.0,Sailes,Louisiana
269,Alfred McGuire*,188.0,81.0,St. John's University,1928.0,New York,New York
271,Ralph O'Brien,175.0,72.0,Butler University,1928.0,Henshaw,Kentucky
274,John Pilch,190.0,83.0,University of Wyoming,1925.0,Sheridan,Wyoming
276,Sam Ranzino,185.0,83.0,North Carolina State University,1927.0,Gary,Indiana
281,Whitey Skoog,180.0,81.0,University of Minnesota,1926.0,Duluth,Minnesota
285,Jim Baechtold,193.0,92.0,Eastern Kentucky University,1927.0,McKeesport,Pennsylvania
286,Jim Brasco,185.0,77.0,New York University,1931.0,Brooklyn,New York
287,Dick Bunt,183.0,77.0,New York University,1930.0,Queens,New York
288,Gene Conley,203.0,102.0,Washington State University,1930.0,Muskogee,Oklahoma
292,Dick Groat,180.0,81.0,Duke University,1930.0,Wilkinsburg,Pennsylvania
299,Jack McCloskey,188.0,86.0,University of Pennsylvania,1925.0,Mahanoy City,Pennsylvania
303,Monk Meineke,201.0,94.0,University of Dayton,1930.0,Dayton,Ohio
305,Bill Mlkvy,193.0,86.0,Temple University,1931.0,Palmerton,Pennsylvania
317,Mark Workman,206.0,97.0,West Virginia University,1930.0,Charleston,West Virginia
318,Zeke Zawoluk,201.0,97.0,St. John's University,1930.0,Brooklyn,New York
319,Don Ackerman,183.0,83.0,Long Island University,1930.0,New York,New York
320,Don Asmonga,188.0,83.0,Alliance College,1928.0,West Mifflin,Pennsylvania
321,Ernie Barrett,190.0,81.0,Kansas State University,1929.0,Pratt,Kansas
322,Ernie Beck,193.0,86.0,University of Pennsylvania,1931.0,Philadelphia,Pennsylvania
325,Walt Davis,203.0,92.0,Texas A&M University,1931.0,Beaumont,Texas
328,Ray Felix,211.0,99.0,Long Island University,1930.0,New York,New York
330,Jack George,188.0,86.0,La Salle University,1928.0,Swissvale,Pennsylvania
332,Norm Grekin,196.0,81.0,La Salle University,1930.0,Philadelphia,Pennsylvania
334,Bob Houbregs*,201.0,95.0,University of Washington,1932.0,Vancouver,Canada
335,Billy Kenville,188.0,84.0,St. Bonaventure University,1930.0,Elmhurst,New York
336,Dick Knostman,198.0,97.0,Kansas State University,1931.0,Wamego,Kansas
337,Clyde Lovellette*,206.0,106.0,University of Kansas,1929.0,Petersburg,Indiana
339,Jack Molinas,198.0,90.0,Columbia University,1931.0,New York,New York
342,Bob Peterson,196.0,95.0,University of Oregon,1932.0,San Mateo,California
343,James Phelan,196.0,88.0,DePaul University,1925.0,Chicago,Illinois
347,Ed Smith,198.0,81.0,Harvard University,1929.0,West Jefferson,Ohio
349,Don Sunderlage,185.0,81.0,University of Illinois at Urbana-Champaign,1929.0,Roselle,Illinois
350,Norm Swanson,198.0,95.0,University of Detroit Mercy,1930.0,Chicago,Illinois
353,George Yardley*,196.0,86.0,Stanford University,1928.0,Hollywood,California
359,Larry Costello,185.0,84.0,Niagara University,1931.0,Minoa,New York
360,George Dempsey,188.0,86.0,King's College,1929.0,Philadelphia,Pennsylvania
363,Chuck Grigsby,196.0,86.0,University of Dayton,1928.0,Dayton,Ohio
364,Herm Hedderick,196.0,77.0,Canisius College,1930.0,Erie,Pennsylvania
366,Mike Kearns,188.0,80.0,Princeton University,1929.0,Trenton,New Jersey
367,Red Kerr,206.0,104.0,University of Illinois at Urbana-Champaign,1932.0,Chicago,Illinois
375,Jackie Moore,196.0,81.0,La Salle University,1932.0,Philadelphia,Pennsylvania
378,Togo Palazzi,193.0,92.0,College of the Holy Cross,1932.0,Union City,New Jersey
379,Bob Pettit*,206.0,92.0,Louisiana State University,1932.0,Baton Rouge,Louisiana
380,Frank Ramsey*,190.0,86.0,University of Kentucky,1931.0,Corydon,Kentucky
382,Frank Selvy,190.0,81.0,Furman University,1932.0,Corbin,Kentucky
383,Gene Shue,188.0,77.0,University of Maryland,1931.0,Baltimore,Maryland
385,Jim Tucker,201.0,83.0,Duquesne University,1932.0,Paris,Kentucky
386,Jack Turner,193.0,77.0,Western Kentucky University,1930.0,Bedford,Indiana
387,Bobby Watson,183.0,72.0,University of Kentucky,1930.0,Central City,Kentucky
389,Jesse Arnelle,196.0,99.0,Pennsylvania State University,1933.0,New Rochelle,New York
390,Dick Atha,188.0,86.0,Indiana State University,1931.0,Otterbein,Indiana
395,Walter Dukes,213.0,99.0,Seton Hall University,1930.0,Rochester,New York
397,Al Ferrari,193.0,86.0,Michigan State University,1933.0,New York,New York
399,Dick Garmaker,190.0,90.0,University of Minnesota,1932.0,Hibbing,Minnesota
400,Tom Gola*,198.0,92.0,La Salle University,1933.0,Philadelphia,Pennsylvania
401,Chris Harris,190.0,86.0,University of Dayton,1933.0,Southampton,United Kingdom
402,Dick Hemric,198.0,99.0,Wake Forest University,1933.0,Jonesville,North Carolina
405,Jim Loscutoff,196.0,99.0,University of Oregon,1930.0,San Francisco,California
406,Chuck Mencel,183.0,76.0,University of Minnesota,1933.0,Phillips,Wisconsin
408,Med Park,188.0,92.0,University of Missouri,1933.0,Britton,South Dakota
409,Richie Regan,188.0,81.0,Seton Hall University,1930.0,Newark,New Jersey
410,Dick Ricketts,201.0,97.0,Duquesne University,1933.0,Pottstown,Pennsylvania
411,Bob Santini,196.0,86.0,Iona College,1935.0,Bronx,New York
413,Kenny Sears,206.0,89.0,Santa Clara University,1933.0,Watsonville,California
415,Maurice Stokes*,201.0,105.0,Saint Francis University,1933.0,Pittsburgh,Pennsylvania
416,Jack Twyman*,198.0,95.0,University of Cincinnati,1934.0,Pittsburgh,Pennsylvania
419,Bob Armstrong,203.0,99.0,Michigan State University,1933.0,Detroit,Michigan
421,Gary Bergen,203.0,95.0,University of Utah,1932.0,Independence,Missouri
422,Al Bianchi,190.0,83.0,Bowling Green State University,1932.0,Long Island City,New York
423,Bob Burrow,201.0,103.0,University of Kentucky,1934.0,Malvern,Arkansas
424,Si Green,188.0,83.0,Duquesne University,1933.0,New York,New York
425,Richie Guerin*,193.0,88.0,Iona College,1932.0,New York,New York
426,Cliff Hagan*,193.0,95.0,University of Kentucky,1931.0,Owensboro,Kentucky
427,Tom Heinsohn*,201.0,98.0,College of the Holy Cross,1934.0,Union City,New Jersey
429,Bob Hopkins,203.0,92.0,Grambling State University,1934.0,Jonesboro,Louisiana
430,Phil Jordon,208.0,92.0,Whitworth,1933.0,Lakeport,California
431,Hal Lear,183.0,73.0,Temple University,1935.0,Philadelphia,Pennsylvania
432,Slick Leonard*,190.0,83.0,Indiana University,1932.0,Terre Haute,Indiana
434,Willie Naulls,198.0,102.0,"University of California, Los Angeles",1934.0,Dallas,Texas
435,Jim Paxson,198.0,90.0,University of Dayton,1932.0,Pennville,Indiana
438,Bill Russell*,208.0,97.0,University of San Francisco,1934.0,Monroe,Louisiana
439,Ron Shavlik,203.0,90.0,North Carolina State University,1933.0,Denver,Colorado
440,Ron Sobie,190.0,83.0,DePaul University,1934.0,Chicago,Illinois
441,Norm Stewart,196.0,92.0,University of Missouri,1935.0,Leonard,Missouri
443,Lou Tsioropoulos,196.0,86.0,University of Kentucky,1930.0,Lynn,Massachusetts
449,Bo Erias,190.0,99.0,Niagara University,1932.0,Astoria,New York
450,Larry Friend,193.0,83.0,University of California,1935.0,Chicago,Illinois
453,Sam Jones*,193.0,89.0,North Carolina Central University,1933.0,Wilmington,North Carolina
454,Jim Krebs,203.0,104.0,Southern Methodist University,1935.0,Webster Groves,Missouri
455,Brendan McCann,188.0,80.0,St. Bonaventure University,1935.0,Brooklyn,New York
456,Worthy Patterson,188.0,79.0,University of Connecticut,1931.0,New Haven,Connecticut
459,Lennie Rosenbluth,193.0,86.0,University of North Carolina,1933.0,New York,New York
460,Woody Sauldsberry,201.0,99.0,Texas Southern University,1934.0,Winnsboro,Louisiana
461,Guy Sparrow,198.0,98.0,University of Detroit Mercy,1932.0,Pontiac,Michigan
462,Charlie Tyra,203.0,104.0,University of Louisville,1935.0,Louisville,Kentucky
463,Jim Walsh,193.0,88.0,Stanford University,1930.0,San Francisco,California
465,Elgin Baylor*,196.0,102.0,Seattle University,1934.0,Washington,District of Columbia
466,Jerry Bird,198.0,95.0,University of Kentucky,1935.0,Corbin,Kentucky
467,Bucky Bockhorn,193.0,90.0,University of Dayton,1933.0,Campbell Hill,Illinois
468,Pete Brennan,198.0,92.0,University of North Carolina,1936.0,Brooklyn,New York
470,Archie Dees,203.0,92.0,Indiana University,1936.0,Ethel,Mississippi
471,Connie Dierking,206.0,100.0,University of Cincinnati,1936.0,Brooklyn,New York
473,Wayne Embry*,203.0,108.0,Miami University,1937.0,Springfield,Ohio
474,Mike Farmer,201.0,95.0,University of San Francisco,1936.0,Oklahoma City,Oklahoma
475,Dave Gambee,198.0,97.0,Oregon State University,1937.0,Portland,Oregon
476,Hal Greer*,188.0,79.0,Marshall University,1936.0,Huntington,West Virginia
477,Steve Hamilton,198.0,86.0,Morehead State University,1935.0,Columbia,Kentucky
478,Vern Hatton,190.0,88.0,University of Kentucky,1936.0,Owingsville,Kentucky
479,Andy Johnson,196.0,97.0,University of Portland,1932.0,Los Angeles,California
481,Tommy Kearns,180.0,83.0,University of North Carolina,1936.0,New York,New York
483,Jim Palmer,203.0,101.0,University of Dayton,1933.0,Keokee,Virginia
484,Jack Parr,206.0,99.0,Kansas State University,1936.0,Louisville,Kentucky
485,Hub Reed,206.0,97.0,Oklahoma City University,1936.0,Harrah,Oklahoma
486,Guy Rodgers*,183.0,83.0,Temple University,1935.0,Philadelphia,Pennsylvania
487,Phil Rollins,188.0,83.0,University of Louisville,1934.0,Wickliffe,Kentucky
491,Bob Anderegg,190.0,90.0,Michigan State University,1937.0,Monroe,Wisconsin
492,Dick Barnett,193.0,86.0,Tennessee State University,1936.0,Gary,Indiana
493,Whitey Bell,183.0,81.0,North Carolina State University,1932.0,Monticello,Kentucky
494,Wilt Chamberlain*,216.0,124.0,University of Kansas,1936.0,Philadelphia,Pennsylvania
495,Bob Ferry,203.0,104.0,Saint Louis University,1937.0,St. Louis,Missouri
496,Johnny Green,196.0,90.0,Michigan State University,1933.0,Dayton,Ohio
497,Gene Guarilia,196.0,99.0,George Washington University,1937.0,Duryea,Pennsylvania
498,Tom Hawkins,196.0,95.0,University of Notre Dame,1936.0,Chicago,Illinois
499,Bailey Howell*,201.0,95.0,Mississippi State University,1937.0,Middleton,Tennessee
501,Rudy LaRusso,201.0,99.0,Dartmouth College,1937.0,Brooklyn,New York
503,Cal Ramsey,193.0,90.0,New York University,1937.0,Selma,Alabama
505,Joe Ruklick,206.0,99.0,Northwestern University,1938.0,Princeton,Illinois
509,Al Attles,183.0,79.0,North Carolina Agricultural and Technical State University,1936.0,Newark,New Jersey
510,Bob Boozer,203.0,97.0,Kansas State University,1937.0,Omaha,Nebraska
511,Dave Budd,198.0,92.0,Wake Forest University,1938.0,Woodbury,New Jersey
512,Ralph Davis,193.0,81.0,University of Cincinnati,1938.0,Vanceburg,Kentucky
514,Darrall Imhoff,208.0,99.0,University of California,1938.0,San Gabriel,California
518,Pickles Kennedy,180.0,81.0,Temple University,1938.0,Philadelphia,Pennsylvania
521,Bob McNeill,185.0,77.0,Saint Joseph's University,1938.0,Philadelphia,Pennsylvania
522,Jackie Moreland,201.0,97.0,Louisiana Tech University,1938.0,Minden,Louisiana
523,Don Ohl,190.0,86.0,University of Illinois at Urbana-Champaign,1936.0,Murphysboro,Illinois
525,Oscar Robertson*,196.0,92.0,University of Cincinnati,1938.0,Charlotte,Tennessee
526,Tom Sanders*,198.0,95.0,New York University,1938.0,New York,New York
527,Jerry West*,188.0,79.0,West Virginia University,1938.0,Chelyan,West Virginia
528,Lenny Wilkens*,185.0,81.0,Providence College,1937.0,Brooklyn,New York
530,Walt Bellamy*,211.0,102.0,Indiana University,1939.0,New Bern,North Carolina
531,George Blaney,185.0,79.0,College of the Holy Cross,1939.0,Jersey City,New Jersey
534,Cleveland Buckner,206.0,95.0,Jackson State University,1938.0,Yazoo City,Mississippi
536,Donnie Butcher,188.0,90.0,Pikeville College,1936.0,Williamsport,Kentucky
537,Al Butler,188.0,79.0,Niagara University,1938.0,Rochester,New York
538,Howie Carl,175.0,72.0,DePaul University,1938.0,Chicago,Illinois
539,Jimmy Darrow,178.0,77.0,Bowling Green State University,1937.0,Akron,Ohio
540,Johnny Egan,180.0,81.0,Providence College,1939.0,Hartford,Connecticut
542,Cleo Hill,185.0,83.0,Winston-Salem State University,1938.0,Newark,New Jersey
543,Ron Horn,201.0,99.0,Indiana University,1938.0,Marion,Indiana
545,York Larese,193.0,83.0,University of North Carolina,1938.0,New York,New York
548,Tom Meschery,198.0,97.0,Saint Mary's College of California,1938.0,Harbin Manchuria,China
550,Bevo Nordmann,208.0,102.0,Saint Louis University,1939.0,St. Louis,Missouri
552,Gary Phillips,190.0,85.0,University of Houston,1939.0,Quincy,Illinois
554,Ray Scott,206.0,97.0,University of Portland,1938.0,Philadelphia,Pennsylvania
555,Lee Shaffer,201.0,99.0,University of North Carolina,1939.0,Chicago,Illinois
557,Adrian Smith,185.0,81.0,University of Kentucky,1936.0,Farmington,Kentucky
559,Sam Stith,188.0,83.0,St. Bonaventure University,1937.0,Greenville County,Virginia
560,Horace Walker,190.0,95.0,Michigan State University,1937.0,Chester,Pennsylvania
564,John Barnhill,185.0,81.0,Tennessee State University,1938.0,Sturgis,Kentucky
565,Zelmo Beaty*,206.0,102.0,Prairie View A&M University,1939.0,Hillister,Texas
566,Bill Bridges,198.0,103.0,University of Kansas,1939.0,Hobbs,New Mexico
567,Len Chappell,203.0,108.0,Wake Forest University,1941.0,Portage,Pennsylvania
568,Johnny Cox,193.0,81.0,University of Kentucky,1936.0,Neon,Kentucky
569,Dave DeBusschere*,198.0,99.0,University of Detroit Mercy,1940.0,Detroit,Michigan
570,Terry Dischinger,201.0,85.0,Purdue University,1940.0,Terre Haute,Indiana
571,Danny Doyle,203.0,90.0,Belmont Abbey College,1940.0,Long Island City,New York
573,Leroy Ellis,208.0,95.0,St. John's University,1940.0,Far Rockaway,New York
575,Jack Foley,190.0,77.0,College of the Holy Cross,1939.0,Worcester,Massachusetts
577,Charlie Hardnett,203.0,102.0,Grambling State University,1938.0,Atlanta,Georgia
578,John Havlicek*,196.0,92.0,Ohio State University,1940.0,Martins Ferry,Ohio
579,Wayne Hightower,203.0,87.0,University of Kansas,1940.0,Philadelphia,Pennsylvania
581,Kevin Loughery,190.0,86.0,St. John's University,1940.0,Brooklyn,New York
582,Bill McGill,206.0,102.0,University of Utah,1939.0,San Angelo,Texas
585,Don Nelson*,198.0,95.0,University of Iowa,1940.0,Muskegon,Michigan
588,John Rudometkin,198.0,92.0,University of Southern California,1940.0,Santa Maria,California
590,Tom Stith,196.0,95.0,St. Bonaventure University,1939.0,Greenville County,Virginia
